name_muni,Casos,Obtos
João Pessoa,27852,855
Campina Grande,12546,348
Guarabira,4320,62
Patos,3874,85
Santa Rita,3217,148
Cabedelo,2853,63
São Bento,2345,28
Mamanguape,2285,37
Sousa,1917,34
Bayeux,1812,101
Cajazeiras,1769,43
Ingá,1411,16
Pedras De Fogo,1323,29
Queimadas,1266,17
Mari,1170,19
Alagoa Grande,1170,26
Sapé,1132,49
Rio Tinto,1123,23
Itabaiana,1119,21
Belém,1075,14
Alagoinha,980,11
Caaporã,969,15
Itapororoca,903,9
Conde,804,15
Lagoa Seca,716,16
Solânea,697,5
Baía Da Traição,660,6
Alhandra,650,17
Pitimbu,641,9
Monteiro,632,9
Pombal,603,5
Conceição,592,7
Catolé Do Rocha,575,14
Esperança,526,8
Juripiranga,520,10
Araçagi,504,5
Brejo Do Cruz,495,8
Pilar,492,11
Areia,482,4
Lucena,468,6
Marcação,451,4
Itaporanga,449,9
Caiçara,447,8
Gurinhém,443,8
Juarez Távora,433,5
Mulungu,421,10
Bananeiras,400,2
Boqueirão,399,7
Cuitegi,388,9
Casserengue,379,5
São João Do Rio Do Peixe,363,4
Cruz Do Espírito Santo,352,20
Pilõezinhos,348,3
Itatuba,347,3
Massaranduba,344,4
Cacimba De Dentro,335,6
Alagoa Nova,334,9
Pirpirituba,323,3
Caldas Brandão,316,2
Sertãozinho,316,3
Jacaraú,315,7
Sumé,311,2
Picuí,302,2
Puxinanã,298,2
Paulista,286,2
Cuité,286,1
Serra Redonda,272,2
Santa Luzia,270,7
Salgado De São Félix,265,2
São Sebastião De Lagoa De Roça,263,3
São José Do Sabugi,263,1
Remígio,260,3
São José Dos Ramos,259,1
Diamante,256,3
Mogeiro,252,4
Araruna,250,8
Juazeirinho,240,2
Riachão Do Bacamarte,235,0
São José De Piranhas,229,2
Arara,225,6
Aroeiras,216,1
Pocinhos,215,2
Mataraca,215,7
Serra Branca,200,4
Soledade,197,1
Piancó,191,6
Sobrado,190,4
Uiraúna,185,8
Teixeira,180,5
Juru,179,1
Serraria,175,3
Tavares,173,2
Logradouro,160,4
Coremas,155,3
Capim,154,6
Condado,149,4
São Miguel De Taipu,147,4
Lagoa De Dentro,143,0
Baraúna,140,0
Princesa Isabel,139,6
Pilões,134,2
Cuité De Mamanguape,130,7
Boa Vista,124,1
Tacima,124,2
Ibiara,123,1
Taperoá,119,3
Caturité,118,1
Olivedos,117,1
Malta,115,2
São João Do Cariri,113,0
Aparecida,112,3
Fagundes,111,5
Livramento,107,0
Dona Inês,105,2
Gado Bravo,104,2
Barra De Santana,104,3
Junco Do Seridó,102,4
Cabaceiras,102,0
Nova Floresta,101,0
Cachoeira Dos Índios,101,6
Congo,97,2
Barra De Santa Rosa,95,1
Riachão Do Poço,94,2
Triunfo,93,2
Santa Cecília,90,0
Duas Estradas,84,1
Nova Palmeira,84,0
Riachão,80,2
Bonito De Santa Fé,80,1
Cubati,80,1
Santa Inês,78,1
Umbuzeiro,77,4
Natuba,77,2
Matinhas,74,2
Pedro Régis,73,2
São Bentinho,71,0
Belém Do Brejo Do Cruz,68,2
São José De Espinharas,68,1
São José Da Lagoa Tapada,66,0
Alcantil,66,0
São Domingos Do Cariri,65,3
Imaculada,64,0
Desterro,64,2
Barra De São Miguel,64,1
Santa Teresinha,63,1
Santa Cruz,61,2
Serra Da Raiz,60,0
Água Branca,60,2
Emas,59,4
Brejo Dos Santos,59,0
São José Do Bonfim,58,4
Areial,56,2
Carrapateira,54,0
São Mamede,54,4
Montadas,53,1
Nazarezinho,52,2
São José De Caiana,50,2
São Vicente Do Seridó,48,0
São José Dos Cordeiros,47,0
Cacimbas,47,1
Assunção,46,0
Damião,45,1
Borborema,44,0
Caraúbas,43,0
Maturéia,43,1
Olho D'água,42,1
Monte Horebe,42,0
Pedra Lavrada,41,0
Jericó,40,1
Curral De Cima,38,1
Serra Grande,37,1
Coxixola,37,0
Marizópolis,37,1
Gurjão,36,2
Quixaba,35,1
Cajazeirinhas,34,0
São Francisco,34,1
Bom Jesus,34,1
Zabelê,33,0
Riacho De Santo Antônio,33,0
Tenório,32,0
Salgadinho,31,0
São José Do Brejo Do Cruz,31,0
Passagem,30,0
Poço De José De Moura,30,0
Camalaú,29,0
Bernardino Batista,29,0
Santana De Mangueira,28,0
Lastro,25,0
Bom Sucesso,24,0
Santa Helena,23,0
Riacho Dos Cavalos,23,1
Vista Serrana,23,1
Aguiar,23,0
Santana Dos Garrotes,23,0
Poço Dantas,22,2
São Sebastião Do Umbuzeiro,21,1
Frei Martinho,21,0
Algodão De Jandaíra,20,0
Mãe D'água,20,0
Joca Claudino,19,0
Catingueira,19,2
Várzea,19,0
Boa Ventura,18,0
Mato Grosso,18,1
São João Do Tigre,18,0
Amparo,17,0
Pedra Branca,17,0
Nova Olinda,17,0
Santo André,15,0
Sossêgo,15,0
Manaíra,14,2
Igaracy,14,1
São Domingos,12,0
Areia De Baraúnas,11,0
Cacimba De Areia,10,0
Vieirópolis,9,0
Prata,9,2
São José De Princesa,9,0
Lagoa,6,0
Parari,6,0
Ouro Velho,3,0
Curral Velho,3,0
